text,Topic,Subtopic
no idea,Other,Small Talk
There is a fee from a transfer that is not supposed to be here!,Card,Card Info
what is my bank balance for all accounts,Funds,Funds Balance
Hello. I just noticed I was charged two times for a restaurant I visited this week. Can you reverse the additional charge?,Funds,Funds Fees Issues
I can not,Other,Small Talk
How do I get another card,Card,Card Order
Hi my account was canceled without any formal cancellation,Account,Account Restore
Will you charge an extra fee for top ups?,Funds,Top Up Info
What's the closest place to withdraw money?,Other,Find ATM
Why is there a pending time on my transfer?,Funds,Funds Pending Issues
Why can't I see my funds after I topped up?,Funds,Top Up Issues
please send ten dollars from bank of america to capital one,Funds,Funds Transfer
"Last Saturday, I was charged extra for the exchange rate on my payment. Is something wrong?",Funds,Funds Fees Issues
do you mind putting a stop on my bank account,Account,Account Close
How do you find the exchange rate?,Funds,Funds Exchange Info
Hello? I received no reply,Other,Small Talk
I need to find the card I received in the app.,Card,Card Info
I was refunded the money for something I bought already.,Funds,Funds Fees Issues
"I am seeing unathorized transactions in the app, on my account.",Funds,Funds Fees
What if I don't want to disclose all of my identity details?,Account,Identity Verification
how many days processing new card?,Funds,Top Up Info
Why was I charged for payments? You didn't warn me about additional fees.,Funds,Funds Fees
How do I cancel a recent transfer?,Funds,Funds Transfer Cancel
A withdrawal is showing that I don't recognize,Other,Scam
How's the exchange rate looking right now?,Funds,Funds Exchange Info
What is the maximum number of transactions that I can put on a disposable card?,Card,Card Info
The exchange rate was not correct for the item I bought.,Funds,Funds Exchange Info
The transfer I tried to make failed.,Funds,Funds Transfer Issues
I was charged a fee for using my card. Can I check that in any way? It seems like there are occasions that I am charge for fees. Can you elaborate this?,Funds,Funds Fees
i want to pay off my student loan,Other,Small Talk
"While I was drunk, I goofed my PIN number and your machine ate my card. How can I get it back?",Card,ATM Card Issues
I don't think I should have been charged a fee to use my card.,Funds,Funds Fees
Why would a merchant revert my payment?,Funds,Funds Transfer Issues
When will my account receive the money?,Funds,Funds Pending Issues
No that was all. Thank you so much.,Other,Small Talk
I believe my card has been compromised because of a strange withdrawal,Other,Scam
"I going to be traveling, can I set up auto top-up if I run low on money?",Funds,Automatic Top Up
fudge off i want to cancel my loan transfer me to a human agent please,Funds,Funds Transfer Cancel
How do I find my PIN number?,Account,Account Info
"how to delete account, not happy",Account,Account Close
on my card what all are my latest transactions,Funds,Funds Transaction History
I received less cash than the amount I specified in the ATM.,Other,ATM Issues
Every time I logged into my account and it gave me my old account that was suspended,Account,Account Issues
It's only been a few weeks my my top-up got cancelled,Funds,Top Up Issues
"For some reason, the money I added was returned.",Funds,Funds Pending Issues
Can I set the account to auto top-up?,Funds,Automatic Top Up
I want a backup second card. Is this possible?,Card,Card Order
please go and change the pin on my bank of america account to be 1234,Account,Reset PIN
Why didn't the money I transferred into my account get added to my balance?,Funds,Funds Pending Issues
Why can I not get cash from the ATM?,Other,ATM Issues
My card is lost! Please help me!,Card,Card Issues
Whats the reason for my payment being declined? It looked like everything went through ok and my account was good.,Funds,Funds Transfer Issues
"my card payment has been declined, do you know why?",Card,Card Issues
I can't find the money I just added to my account.,Funds,Top Up Issues
yeah I am very sure I didn't use that card for payment.,Funds,Funds Wrong Debit
There is a duplicate payment on my card. Why?,Funds,Funds Transfer Issues
I should not have been charged a fee for cash withdrawal.,Funds,Funds Fees Issues
I can't see a transfer to my account I made.,Funds,Funds Transfer Issues
I got an unexpected charge on my transfers. How can I correct this?,Funds,Funds Fees Issues
Why is the cash transaction still showing as not completed?,Funds,Funds Exchange Info
I don't think my transfer wen through. Why?,Funds,Funds Transfer Issues
Will I get charged for topping up with an international card?,Funds,Top Up Issues
My cash withdrawl has the wrong rate of exchange.,Funds,Funds Exchange Issues
Is it possible to dispute a debit payment from a couple of months ago.,Funds,Funds Transfer Cancel
can you please put a stop on my bank account,Account,Account Suspend
It's been a week since you sent my card and I still don't have it.,Card,Card Delivery
I don't remember if I payed by card,Other,Small Talk
Are there downsides to using a disposable virtual cards?,Card,Card Info
What kind of ATMs would this card be accepted at?,Card,Card Info
I have an odd payment in my statement,Funds,Funds Wrong Debit
"Hello, Just now i got to know withdrawal of money from of my account. As someone used my card to withdraw amount in any odd remote area. Since i have not been in that area, please freeze my card immediately.",Card,Card Block
I didn't cancel my top-up.,Funds,Top Up Info
Talk to virtual assistant,Funds,Funds Fees
before i pay my walmart credit card did i make any purchases using it recently,Funds,Funds Transfer Cancel
Show me the amount of transactions I can do with a disposable card.,Card,Card Info
"If I top up by transfer, am I going to be charged?",Funds,Funds Fees
Is it simple to transfer money using my credit card?,Funds,Funds Transfer
speak with operator,Other,Bot to Human
limits on top ups,Funds,Top Up Info
Is there a limit on the number of times I can use a disposable card?,Card,Card Info
i suspect fraudulent transaction,Funds,Funds Wrong Debit
Everytime I try to prove my identity it won't let me.,Funds,Funds Pending Issues
"When I withdrew my money, why was there an extra charge?",Funds,Funds Fees Issues
How do I know if my top-up went through?,Funds,Top Up Info
Can you make exchanges with the EUR?,Funds,Funds Exchange Info
There is a card payment I'm not familiar with.,Funds,Funds Wrong Debit
How can I dispute a debit transaction?,Funds,Funds Wrong Debit
I entered a typo when I was transferring money and now I've sent it to an incorrect account. This is so bad! I need it cancelled now.,Funds,Funds Transfer Cancel
Am I able to track a card that has already been sent?,Card,Card Delivery
Please help revert my transaction from this morning.,Funds,Funds Transfer Cancel
Where's the money from my transfer from Europe?,Funds,Funds Transfer Issues
"I purchased something abroad, and the exchange rate that was applied was wrong.",Funds,Funds Exchange Info
"Yes, my personal details are correct",Other,Small Talk
I an not sure but it looks as if a card payment I made was cancelled.,Funds,Funds Pending Issues
I've tried several times to make a payment and every time my card is declined? Could my card be locked? I don't know what to do.,Card,Card Issues
What stipulations do disposable cards entail?,Card,Card Info
"I would like to order a virtual card, where can I get one?",Card,Card Info
I think the top up failed,Funds,Top Up Issues
How do I report my card as lost or stolen?,Other,Scam
How do I activate my card that just arrived?,Card,Card Activation
"Last Saturday, I made a payment and the exchange rate was wrong. I was charged too much.",Funds,Funds Exchange Issues
"The expiration date for my card is coming up, how do I get a new card?",Card,Card Order
How do I get unblocked?,Funds,Withdraw Issues
"Sort your top up out please! It's been pending since an hour already, can you please make this go through asap I really need the money",Account,Account Close
What is the wait time for delivery to the US?,Card,Card Delivery
I checked my account and see that funds were deducted from a seller I didn't approve of. Can you help me understand?,Funds,Funds Transfer Issues
Can I convert currency with the app?,Funds,Funds Exchange
Which flat currencies can I use from you?,Funds,Funds Exchange Info
I must have entered my PIN wrong.,Account,Account Issues
"Hey, I tried to withdraw some cash earlier and it's saying it's pending? Will I be charged for this?",Account,Reset Account Password
Sup? Chatbot,Other,Bot to Human
Do I get a real card?,Card,Card Order
My account balance is clearly wrong. I want to talk to somebody about that!,Account,Account Issues
What do I have to do to activate my card?,Card,Card Activation
What happens after my card expires?,Card,Card Info
Nope thank you,Other,Small Talk
What works for identity verification?,Account,Identity Verification
"Can you help me with my card, I think it's broke.",Card,Card Issues
If I need more than cards will I have to pay a fee to receive them?,Card,Card Order
Can you let me know why my cash withdrawal is still pending?,Funds,Funds Pending Issues
Will there be a charge for exchanging foreign currency?,Funds,Funds Fees
Kneed to talk to a representative,Other,Bot to Human
Will you charge me for exchanging foreign currencies?,Funds,Funds Exchange Info
I tried taking out 30 pounds from the ATM just now and it only gave me 10. Why would it do that? I need the 30 pounds now!,Other,ATM Issues
What is the age limit for an account?,Card,Card Order
my cash withdrawal has not come out of my account yet.,Funds,Withdraw Issues
Hello I’m trying to get with customer care,Other,Bot to Human
Where can I order my virtual card?,Card,Card Order
What are your exchange rates calculated from?,Funds,Funds Exchange Info
"Hi,  I have transferred money but beneficiary's account is credited with less amount. Now i have transfer the difference of the amount. I think there is some issue, could you please look into this.",Funds,Funds Transfer Issues
Can I add a card that I just found (again) to the app?,Other,App Info
I have a fee and I don't know why,Funds,Funds Fees
Do you need my birthdate?,Funds,Funds Transfer Cancel
"I made a purchase this morning, and it is showing as pending.",Funds,Funds Pending Issues
Can I specify a day for my card to be delivered?,Card,Card Delivery
My cash received does not match what has been requested,Funds,Funds Fees Issues
I was recently charged for withdrawing money from my bank ATM. How can that be possible when I haven't been charged for using it before?,Funds,Withdraw Issues
Why does is payment not going through? Did my account get frozen or some other issue I don't know about. What can I do to fix this problem?,Funds,Funds Transfer Issues
Should I be seeing a fee applied for my money transfer?,Funds,Funds Fees
My identity has been stolen. I still have my physical card but there are charges I didn't make on my account. How do I cancel this card or dispute the charges?,Funds,Funds Wrong Debit
I want to top up by card,Funds,Top Up Info
"phone is at a hotel, can i still use app",Other,App Info
Verifying top-up cards necessary?,Card,Card Info
"Card payment was declined, do you know why?",Funds,Funds Transfer Issues
There is an urgent transfer I need to make from China.  How long will it take to get it processed?,Funds,Funds Transfer
When can I expect my card? I live in the US.,Card,Card Delivery
Can you tell me what I need to do for the identity check process?,Account,Identity Verification
"Please cancel my most recent transfer, it was a mistake. This is an emergency. It needs to be canceled before it goes through.",Funds,Funds Transfer Cancel
My contactless stopped working today for no good reason. It's not working no matter where I try to use it. Can you please help me fix it?,Card,Card Issues
What is needed for my daughter to open an account?,Account,Account Creation
Could you please tell me how to activate my new card?,Card,Card Activation
How can I top up with Apple Pay?,Funds,Top Up Info
Can I get a card even though I live in the US,Card,Card Order
Is there an auto top up option?,Funds,Automatic Top Up
The terminal I paid at wouldn't take my card. Is something wrong?,Card,Card Issues
Where can I order a card?,Card,Card Order
what reason could the bank have had for blocking my account,Account,Account Info
Do you accept credit cards from the US,Card,Card Info
How can I order my card?,Funds,Funds Transfer Issues
What's the process for topping up by card?,Account,Account Creation
Could you please tell me why my card payment didn't work?,Funds,Funds Fees Issues
Im trying to top up my card but it's still pending and it's been an hour. Is there any way to make it go through faster? Do I not have enough?,Funds,Funds Pending Issues
How long until the transfer is reflected on my account balance?,Funds,Funds Transfer Info
I happened to forget my passcode,Card,Reset Account Password
show me the last month of transactions,Funds,Funds Transaction History
My phone is at the hotel. How can I use the app?,Other,App Info
I need some help linking my new card.,Card,Card Activation
Can I have a discount if I exchange currency often?,Funds,Funds Exchange Info
I was charged the wing amount for an item.,Other,Small Talk
What are my payment options?,Funds,Funds Fees
Show me how to verify my identity?,Account,Identity Verification
"I need you to stop the transfer I just started as soon as possible, I just realized it's not correct!",Funds,Funds Transfer Issues
Not really but I will figure it out thank you anyway,Other,Small Talk
Can I top-up any amount?,Funds,Top Up Info
I can't find the card PIN.,Funds,Funds Pending Issues
"I just noticed that I supposedly made a payment to a seller a while back. The problem is, I don't recognize the seller. There must be a way to see who it is or track the payment. Can you do that, because I don't remember this transaction?",Funds,Funds Transfer Info
How do I go through the identity checks?,Account,Identity Verification
"My phone was stolen, what should I do?",Account,Account Suspend
what caused a freeze to be put on my bank account,Account,Account Info
"I went for a meal in Seattle and paid the bill but I think they charged me twice, the first time they swiped the card I got a notification to say the money had gone out the account but then I added a tip and I think they swiped it all again. Can you refund one of the charges?",Funds,Funds Fees Issues
how do i avoid charges in the future,Funds,Funds Transfer Cancel
My card was charged more than expected.,Funds,Funds Fees Issues
Card payment has be declined.,Funds,Funds Transfer Issues
The app has rejected my top up.,Funds,Top Up Issues
I don't see the verification code for my card transfer.,Account,Identity Verification
There is random cash in my account.,Account,Account Issues
Tell me about the card PIN?,Card,Card Info
I must change my address.,Account,Account Info Change
Why does a top- up need to be verify?,Account,Identity Verification
i see a suspicious transaction in my account history,Funds,Funds Transaction History
Can you tell me if there are limits to disposable virtual cards?,Card,Card Info
I'd like my account to be deleted. I'm not satisfied with the service you provide.,Account,Account Close
Do you offer SWIFT transfers?,Funds,Funds Transfer
I made an ATM withdrawal over the holiday and then later realized I was charged an exorbitant fee! I never would've made this withdrawal if I'd known I'd be charged so much.,Funds,Funds Fees Issues
Can you please sort out your top up? I need this to go through asap because I really need the money. It's already been pending for an hour.,Funds,Top Up Info
I can't find my PIN anywhere.,Account,Account Info
need to transfer from one account to my other one,Funds,Funds Transfer
I am worried that too much time has gone by for a transfer to be completed.,Funds,Funds Pending Issues
What do I do to unblock my PIN?,Account,Account Info
Why am I being charged a fee for using my card? If there is some print out of places that charge me can you please send me that?,Funds,Funds Fees
would I need to pay extra for exchanging currencies?,Funds,Funds Exchange
How do I get the passcode reset?,Card,Reset PIN
I am not sure,Other,Small Talk
I'm sure I have enough money so why didn't the store accept my card?,Card,Card Issues
What countries can I use your services?,Other,Unsupported Talk
What is the exchange fee that is charged?,Funds,Funds Exchange Info
My card did not work at store.,Card,Card Issues
Why has my withdrawal not posted?,Funds,Withdraw Issues
Is there a fee for european bank cards?,Funds,Funds Fees
I need a new login code,Other,Unsupported Talk
I tried to get cash out of the ATM but it is taking too long,Other,Unsupported Talk
Can you check the exchange rate on a cash transaction I did overseas,Funds,Funds Exchange Info
Are their certain cash machines where I can change my pin?,Account,Reset PIN
Why is a transfer I did recently still processing?,Funds,Funds Transfer Issues
Where can I located the auto-top up option?,Funds,Automatic Top Up
Is there a reason my top-up has not gone through?,Funds,Top Up Issues
What locations are cards delivered to?,Card,Card Delivery
Help me find the transfer that I did.,Card,Card Info
My payment shows that it is pending will I be charged more money?,Funds,Funds Pending Issues
Can I activate my card?,Card,Card Activation
Why do I have to pay extra for using my card?,Funds,Funds Fees
i 'd like to make a payment on my credit card bill,Funds,Funds Transfer
Why hasn't my transfer from Europe gone through?,Funds,Funds Pending Issues
How are foreign exchange rates determined?,Funds,Funds Exchange Info
What should I do if I have used all of my PIN tries?,Account,Reset PIN
Please verify my top-up card,Card,Card Info
I have been waiting over a week. Is the card still coming?,Card,Card Delivery
"I have done a transfer within the country the day before yesterday, but it's still not there yet. Can you please check what's going on with that, the account number is the right one, I've checked that several times already.",Funds,Funds Pending Issues
"This company is bad, delete my account now.",Account,Account Close
Why was my card charged when topping off my balance but it's not showing up in my wallet balance?,Card,Card Issues
To many charges on my card how do I go about fixing that?,Card,Card Issues
"Everything I have was stolen yesterday making it so I don't have access to the app, what should I do?",Other,Scam
I had the wrong exchange rate applied to some cash I got abroad.,Funds,Funds Exchange Issues
I wanted $100 but only got $20,Funds,Withdraw Issues
How long until I see a cash withdrawal?,Funds,Withdraw Issues
i do not know what this charge is for,Funds,Funds Fees Issues
I think the currency exchange that's been applied is wrong.,Funds,Funds Exchange Issues
"That is right, it was reverted",Other,Scam
How do I get my card back after the ATM swallowed it.,Card,ATM Card Issues
When are you going to transfer the money?,Funds,Funds Transfer Issues
How much does it cost to get more cards?,Card,Card Order
i don't know my pin,Account,Account Issues
Do all businesses take this card?,Card,Card Info
what are the exchange rates for getting cash,Funds,Funds Exchange Info
i need help paying my auto insurance bill,Funds,Funds Transfer
It was less than what I told you.,Funds,Withdraw Issues
Can you explain why my payment is still pending?,Funds,Funds Pending Issues
I'm still expecting the transaction to be finished,Funds,Funds Pending Issues
Someone else made a Direct Debit transaction on my account,Card,Card Issues
Why did my transfer not work?,Funds,Funds Transfer Issues
"It seems I've suddenly been charged for my recent ATM cash withdrawal. What's up with that? I though withdrawals are free, you never charged me so far!",Funds,Withdraw Issues
When will my transfer post to my account?,Funds,Funds Transfer
I think I was charged by mistake on my debit statement.,Funds,Funds Wrong Debit
"There was just a withdrawal but it wasn't me, I've never even visited the town where the withdrawal happened.",Funds,Funds Wrong Debit
"I accidentally chose to exchange GBP, but I need to pick AUD. How can I change it?",Funds,Funds Exchange
Help! My card is stolen.,Card,Card Block
When can I expect a transfer from Europe to go through?,Funds,Funds Transfer
"I can't freeze my account as I need the card as I am traveling, how do I change my pin?",Account,Reset PIN
Can you tell me what i steps i should take since my card was stolen?,Card,Card Block
The exchange rate for the money I took out in a foreign country is wrong.,Funds,Funds Exchange Issues
"Hi, I had an issue with my card payment and It shows on my account that my payment went through. Then I got contacted from the seller saying ""they did not receive my payment"" then the payment was returned to my account. so I would like to see why it did that please.",Funds,Funds Transfer Issues
i forgot my pin number to my chase account,Account,Reset PIN
My transfer failed,Funds,Funds Transfer Issues
I tried to top up my account and it didn't work,Funds,Top Up Issues
How do I top-up automatically?,Funds,Automatic Top Up
is there a charge on withdrawals?,Funds,Funds Fees
Why did my exchange rate change?,Funds,Funds Exchange Info
How come the money from the merchant appeared back into my account?,Funds,Funds Transfer Issues
I haven't gotten my new card.,Card,Card Delivery
What is the process when my card is due to expire?,Card,Card Info
I am really not sure which address is connected to that credit card.,Card,Card Info
Do you take SWIFT transfers?,Funds,Funds Transfer
There is a top up that has been pending for an hour and I don't know why. I was expecting it immediately and need it now!,Funds,Top Up Issues
How do I add my card to the app once I get it?,Other,App Info
Can I have more disposable cards?,Card,Card Order
My cash withdrawal shows as pending still.,Funds,Withdraw Issues
Hi hi! Can we do that now?,Other,Unsupported Talk
I do I top up from my Apple Watch?,Funds,Top Up Info
Where is the money that I transferred.,Funds,Funds Transfer
A duplicated payment was made for something.,Funds,Funds Transfer Issues
I am unaware of what my password is.,Account,Reset Account Password
What do I do if my PIN was blocked?,Account,Reset PIN
My purchase used the wrong exchange rate,Funds,Funds Exchange Issues
I didn't initiate a direct debit that I see on my account,Funds,Funds Transfer Issues
I cannot get my disposable virtual card to work,Card,Card Issues
Fix my top up,Funds,Top Up Issues
From what countries can I use an account?,Other,Unsupported Talk
Is there any reason my cash withdrawal still shows as pending?,Funds,Funds Pending Issues
yes cancel it now,Funds,Funds Transfer Cancel
There are fraudulent charges that I didn't make on my card. Can you please put in the safeguards necessary to stop this from happening anymore?,Other,Scam
"I am overseas in China, can I get a replacement card?",Card,Card Order
why has a cash withdrawal charged me?,Funds,Funds Fees
I can't withdraw any money from my account. Ive tried a couple different ATM machines and both of them wouldn't give me my money. What's going on? Is my account frozen or something?,Card,ATM Card Issues
can you transfer 5 from savings to checking,Funds,Funds Transfer
How do I troubleshoot when contactless doesn't work?,Funds,Funds Wrong Debit
When does my transfer from the US arrive in my account?,Card,Reset PIN
How long does it take for a new card to ship?,Card,Card Delivery
I'm wondering how long it takes for my money to get to me after a bank transfer.,Funds,Funds Transfer
Hi sorry am late,Other,Small Talk
why is there a fee for a payment on my card?,Funds,Funds Fees
How long do bank transfers usually take?,Funds,Funds Transfer
I have a disposable virtual card. Is there a limit to how many times I can use it?,Card,Card Info
I believe my top up has failed,Funds,Top Up Issues
Why hasn't my card arrived yet?,Card,Card Delivery
When will the transaction go through?,Funds,Funds Pending Issues
I think you reverted my top up.,Funds,Top Up Info
Can I have more than 2 disposable cards?,Card,Card Info
I used an ATM and wanted to know why I was charged an extra fee.,Funds,Funds Fees Issues
"If I want to be able to give my daughter a card for my account, would I be allowed to get one for her?",Card,Card Order
do i have enough in my chase account for new nikes,Account,Account Info
I was attempting to top up with my card but the money has vanished!,Funds,Top Up Issues
"My pin needs unblocking, unblock it please?",Account,Reset PIN
what is my money market account balance,Funds,Funds Balance
Is there a limit for age?,Account,Account Creation
After I transferred money the balance remained the same.,Funds,Funds Pending Issues
Is it possible to change my pin if i am out of the country?,Account,Reset PIN
Why was I unable to finish this transfer?,Funds,Funds Transfer
please transfer x from checking to saving,Funds,Funds Transfer
The first payment I attempted for my card at the store earlier did not process so I had to make a second attempt. The second time it worked. It now appears I was charged twice. After looking at the app I see a pending charge. Please remove the pending amount because it is clearly not accurate and was declined.,Funds,Funds Pending Issues
What's the pending length for credit transactions? I've had one in my pending category now for days and it won't move to processed.,Funds,Funds Pending Issues
My payment card was declined - could you tell me why?,Card,Card Issues
I don't have a PIN at this point.,Account,Account Issues
Why wouldn't a transfer go through?,Funds,Funds Transfer
My card payment has failed.,Funds,Funds Transfer Issues
Are there any places that won't take my card?,Card,Card Info
Is there a tracking number for the card?,Card,Card Info
How to unblock my PIN?,Account,Reset PIN
"To deliver to the US, how long will it take?",Card,Card Delivery
"When I withdrew money from my account the other day, I noticed that there was a fee. I didn't think that there were any fees for withdrawals...? How much will I be charged?",Card,Reset PIN
How much would it cost me if I transfer?,Funds,Funds Transfer
Is this card available to Americans?,Card,Card Info
How do I change my address ?,Account,Account Info Change
Why is it saying my card payment is declined when I made it?,Funds,Funds Transfer Issues
Hi no you helped me a lot thank you,Other,Small Talk
Is it possible to exchange USD and GBP on the app?,Funds,Funds Exchange
I haven't yet received money that I transferred,Funds,Funds Transfer
The app passcode has completely slipped my mind.,Account,Reset Account Password
My card is stuck inside the ATM.,Card,ATM Card Issues
I would like to exchange currencies on the app. How do I do this?,Funds,Funds Exchange Info
"My husband and I went out for our weekly ""dinner and a movie,"" and it was my turn to pick up the check. Now I see that my card was charged twice. Who should I contact about negating the second charge and getting my card credited?",Funds,Funds Transfer Issues
Ok now,Other,Small Talk
Is there an extra charge to exchange different currencies?,Funds,Funds Fees
Where can I get my card PIN?,Card,Card Info
I need my card to be delivered fast,Card,Card Delivery
"I no longer need AUD, I need GBP instead, how can I make this happen?",Funds,Funds Exchange
How do I re-order a damaged card?,Card,Card Order
help me move my money,Funds,Funds Transfer
Will it cost me to get a second card?,Card,Card Order
How do I know how much money I will have when I travel abroad?,Funds,Funds Balance
How can I exchange to EUR?,Funds,Funds Exchange
Yes I have,Other,Small Talk
I'm having a hard time proving my identity.,Account,Identity Verification
My top up is pending still,Funds,Top Up Info
I don't understand why I'm being charged for using my card.,Funds,Funds Fees
Can i add a new currency to my account?,Funds,Top Up Info
What are the charges for recieving SEPA transfers?,Funds,Funds Transfer
I need to change my contact information.,Account,Account Info Change
I am inquiring about why there was an extra fee charged when I used an ATM.,Funds,Funds Fees
"Hi, I was looking over my card receipts for the past week and I realize I had a charge put through two times for the same single restaurant visit. Can one of the charges be removed so that I can get the money back that was mistakenly taken from my account?",Funds,Funds Transfer Cancel
there 's fraudulent transaction going on,Other,Scam
how much money is in my checking account,Funds,Funds Balance
My cash withdrawal was not entirely complete,Funds,Withdraw Issues
My top up may have been reverted,Funds,Top Up Info
Why was I charged twice for the same thing?,Funds,Funds Fees Issues
I would like to make sure it is delivered on a certain date.,Card,Card Delivery
My recipient hasn't received the money,Funds,Funds Transfer Issues
"My money has gone missing. I had recently added money in, and saw it was there and went through. Now it's missing. What is happening?",Card,Card Info
Activate my card,Card,Card Activation
My money transfer hasn't appeared yet.,Funds,Funds Transfer Info
What is the delivery time for US?,Funds,Funds Pending Issues
I made a payment but it's still pending,Funds,Funds Pending Issues
"Yes, I did pay with money",Other,Conversation Control
"yes, my current account movements are not showing",Funds,Funds Pending Issues
"no, the actual refund claim is higher, it was £201.97",Funds,Funds Exchange Issues
Is it possible to transfer money to my credit card?,Funds,Funds Transfer
set my amex pin to 1234,Account,Reset PIN
There is a Direct Debit that looks suspicious.,Other,Scam
"I transferred money, but I think I've been charged a fee for it?",Funds,Funds Fees
What are the time frames for the money to be available in my account?,Card,Card Delivery
i need to transfer from this account to that one,Funds,Funds Transfer
Does it cost extra to exchange foreign currencies?,Funds,Funds Exchange Info
is there a way to change my pin number for my savings account,Account,Reset PIN
I was denied cash at an ATM,Other,ATM Issues
I made a cash withdrawl and there is a charge. What is this?,Funds,Funds Fees
Can somebody else top up my account?,Funds,Top Up Info
Can I do more than 10 transactions with a disposable card?,Card,Card Info
Who do I contact if there is a direct debit that I did not create.,Funds,Funds Wrong Debit
How do I shut down my account and get out of this company?,Account,Account Close
I am required to make several disposable cards every day.,Card,Card Order
My transaction from earlier needs to be reversed.,Funds,Funds Transfer Cancel
I made a transfer recently but it has not changed on my dashboard.,Funds,Funds Pending Issues
Why would the app revert my payment?,Funds,Funds Transfer Issues
what is the total of my bank accounts,Account,Account Info
I was recently mugged and would like to know if I have to have access to the app to use your services and how I would go about setting up your services on a new device belonging to a current user?,Other,App Info
"I transferred money to another country several days ago, but my transaction is still pending. i have checked that the accounts are keyed in correctly. what sees to be the problem?",Funds,Funds Pending Issues
I'm not able to withdraw money from the ATM but I'm not sure why.,Funds,Withdraw Issues
this verifying the top up is annoying,Funds,Top Up Info
"I tried using my card, but it doesn't work.",Card,Card Issues
How do I make a currency exchange?,Funds,Funds Exchange Info
Can you tell me how to locate my PIN?,Account,Account Info
Am I able to Top Up with Apply Pay?,Funds,Top Up Info
What's the earliest time to receive my card?,Card,Card Delivery
How can I verify my identity?,Account,Identity Verification
"Around one or two weeks ago I purchased something but there's seems to be an issue. I have already received one of the items, but today the money was placed back into my account. What is happening?",Funds,Funds Transfer Issues
What do I do to activate?,Other,Small Talk
What do I do if the ATM swallowed my card?,Card,ATM Card Issues
I tried to withdraw $100 but only got $20. What happened?,Funds,Withdraw Issues
Why is there a charge for my transfer?,Funds,Funds Transfer
I'd like to have extra cards. Will I have to pay for that?,Card,Card Order
"I have no idea, sorry",Other,Small Talk
"A strange card payment, I do not recognize it.",Funds,Funds Transfer Cancel
How long will it take to receive a virtual card?,Card,Card Delivery
"A 500 pound cash withdrawal was just made from my account, but I didn't make it. I am pretty sure my card has been compromised - can you help me?",Card,Card Block
Please help. The card won't work.,Card,Card Issues
please explain me the reason for it being higher than last time,Other,Small Talk
"How do I activate my card, so that I can start using it?",Card,Card Activation
to be honest i have no idea,Funds,Funds Transfer Issues
"I already paid to top-up but the funds aren't available yet, where are they?",Funds,Top Up Issues
I'm still waiting on my new card to be delivered!,Card,Card Delivery
I'm still awaiting for the completion of the transaction.,Funds,Funds Pending Issues
I see a direct debit transaction that I didn't make.,Funds,Funds Transfer Issues
i need to pay my bill,Funds,Funds Transfer
Why was I charged a fee for my withdrawal?,Funds,Funds Fees
The ATM took my card.,Funds,Funds Transfer Cancel
How can I go about ordering a virtual card?,Card,Card Order
"I got some cash at an ATM earlier, but now app is showing that I withdrew more than I did. Help!",Other,ATM Issues
Awesome! Will do that now!,Funds,Funds Exchange Info
Why is my identity not being verified?,Account,Identity Verification
I received a different amount of cash than what I entered.,Funds,Withdraw Issues
I got charged in double and want a refund,Funds,Funds Fees Issues
Can you tell me the names of the fiat currencies that I can use at your institution?,Funds,Funds Pending Issues
Can I make a contactless payments?,Card,Card Info
Call me,Other,Bot to Human
"help, I see money missing I didn't take out.",Funds,Funds Wrong Debit
Could you tell me what your exchange rates are?,Funds,Withdraw Issues
Why is there a fee for doing a transfer?,Funds,Funds Fees Issues
i cannot get virtual card to work,Card,Card Issues
"I'm having an issue with transaction. I topped up my account and saw it went through, but that was a few days ago and the money isn't in my account any more. What's up with that?",Funds,Top Up Issues
What is the price for a physical card?,Card,Card Info
My top up did not complete.,Funds,Top Up Info
i have suspicious charges on my discovery card,Other,Scam
Will I have to wait much longer for my new card to arrive?,Card,Card Delivery
When can I expect my card to arrive?,Card,Card Delivery
How do I report a cash withdrawal that wasn't me?,Other,Scam
Why was my account assessed a fee for an ATM transaction?,Funds,Funds Fees Issues
Is there a way to track my card?,Card,Card Delivery
is there enough money in my bank of hawaii for vacation,Other,Unsupported Talk
How long does it take for my physical card to be delivered.,Card,Card Delivery
What should I do when my card reaches its expiry date?,Card,Card Info
"I tried to withdraw some funds from my card, but was declined. How can I get my money?",Card,Card Issues
The exchange rate on my payment doesn't look right,Funds,Funds Transaction History
I really have no idea what you're referring to and would like to speak to a real person.,Other,Bot to Human
"One of my card payments, I don't recognise the name of the merchant.",Card,Card Issues
Can someone help with my passcode?,Account,Reset PIN
"My transaction history is looking a little off. I have been charged twice for multiple different purchases, and would like to have those duplicate charges refunded.",Funds,Funds Fees Issues
"I'm checking my statements and I saw a purchase from a couple weeks ago that I don't recall at all. Not only that, but I don't even know the business that charged it. I'm not sure if I did it or not, but can we check it and see if we can trace it back to make certain?",Funds,Funds Wrong Debit
What will my exchange rate be?,Funds,Funds Exchange Info
please file a fraud report,Other,Scam
i gotta report fraudulent activity on my credit card,Other,Scam
I want to do a swift transfer,Funds,Funds Wrong Debit
"No, it's not this account",Funds,Funds Transfer Issues
i need help paying my cable bill,Funds,Funds Transfer
What retailers accept my card?,Card,Card Info
"My transfer did not work, what was the reason?",Funds,Funds Transfer Issues
help me change my pin number,Account,Reset PIN
